Item_Weight,Item_MRP,Item_Outlet_Sales,Item_Fat_Content_Regular,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
9.3,249.8092,61.11577537755698,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.92,48.2692,21.057606701617352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
17.5,141.618,45.79596052055246,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
19.2,182.095,27.06252020784465,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.93,53.8614,31.538947350854944,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
10.395,51.4008,23.592558148704434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
13.65,57.6588,18.53517736629461,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
15.75,107.7622,63.42525995216732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
16.2,96.9726,32.81156198659247,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
19.2,187.8214,68.63333738060535,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11.8,45.5402,38.93618625392066,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18.5,144.1102,46.76700760151327,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15.1,145.4786,39.86558164632745,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17.6,119.6782,46.31638586936593,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
16.35,196.4426,44.468258342327736,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9.0,56.3614,39.33597844213361,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11.8,115.3492,40.27268056635913,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
9.0,54.3614,26.8029513300308,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10.3,113.2834,47.99654154207363,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
13.35,230.5352,52.42539842480932,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
18.85,250.8724,61.44172849131118,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
14.85,144.5444,63.74984862727126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
