Item_Weight,Item_MRP,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Outlet_Age,Item_Fat_Content_Regular,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
9.3,249.8092,1,2,11.794838416011734,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.92,48.2692,1,0,6.223653507948934,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
17.5,141.618,1,2,9.919648958211196,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19.2,182.095,0,0,7.234706926215967,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.93,53.8614,2,0,7.930641467059172,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10.395,51.4008,1,0,6.662926468821343,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13.65,57.6588,2,0,5.764983222554704,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
15.75,107.7622,1,0,12.060278964685311,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
16.2,96.9726,0,1,8.121124028273938,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
19.2,187.8214,0,1,12.645065127976435,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11.8,45.5402,1,2,8.999368729114934,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
18.5,144.1102,0,2,10.045319384409416,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15.1,145.4786,1,2,9.127647567325752,23,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
17.6,119.6782,0,2,9.987132185887729,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
16.35,196.4426,2,0,9.746082246503292,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9.0,56.3614,0,2,9.054698092352053,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11.8,115.3492,1,0,9.183459656147702,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9.0,54.3614,1,2,7.192991890183766,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10.3,113.2834,1,0,10.202954898452385,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.35,230.5352,0,1,10.757839084599441,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18.85,250.8724,2,0,11.832542006229437,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
14.85,144.5444,1,0,12.097273368181941,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.6,196.5084,0,1,9.124204543039555,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
15.85,107.6938,0,2,5.004490840942745,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.85,165.021,0,2,12.10974408094207,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13.0,45.906,0,1,7.535538634258639,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7.645,42.3112,0,1,8.095415277565513,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11.65,39.1164,2,0,5.584168717834397,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5.925,45.5086,0,0,4.736347684506954,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,43.6454,0,2,4.2652223719012445,37,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.25,55.7956,0,0,4.616189931173231,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6,96.4436,1,0,10.750014249675006,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
18.7,256.6672,1,0,11.118773373064116,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
